Program: /home/skk/3rd_Sem_Bogachev/2025.10.31/dist/Krivoruchenko_SK/a02.out

--- R = 8 FILE = nv_10.txt ---
Source list:
Jttweitgnlpjm 9570066
Prdpagdudkdcyf 5616391
Phpnmyhtntkwh 4172124
Wbxnceqwibal 1567862
Ywvgnj 7842237
Qnakxxshs 6759808
Relwuif 9040350
Rxoqvkx 4585929
New list:
Jttweitgnlpjm 9570066
Lfegnke 9161234
Phpnmyhtntkwh 4172124
Prdpagdudkdcyf 5616391
Qnakxxshs 6759808
Relwuif 9040350
Rwmfxxdwqkph 8074018
Rxoqvkx 4585929
/home/skk/3rd_Sem_Bogachev/2025.10.31/dist/Krivoruchenko_SK/a02.out : Task = 2 Diff = 0 Elapsed = 0.00

--- R = 8 FILE = nv_20.txt ---
Source list:
Ywvgnj 7842237
Wdybvb 1037454
Wbxnceqwibal 1567862
Sjhfogds 2129274
Rxoqvkx 4585929
Rwmfxxdwqkph 8074018
Relwuif 9040350
Rcloxlivka 4104486
New list:
Cdnbbfluosbd 9999941
Dmtyx 7160004
Esbxbnegtsqy 6755124
Euwbqgpfr 3851803
Fbpfqmy 3520377
Jttweitgnlpjm 9570066
Lfegnke 9161234
Oeejwuinolrcns 3738656
/home/skk/3rd_Sem_Bogachev/2025.10.31/dist/Krivoruchenko_SK/a02.out : Task = 2 Diff = 0 Elapsed = 0.00

--- R = 8 FILE = nv_50000.txt ---
Source list:
Jttweitgnlpjm 9570066
Prdpagdudkdcyf 5616391
Phpnmyhtntkwh 4172124
Wbxnceqwibal 1567862
Ywvgnj 7842237
Qnakxxshs 6759808
Relwuif 9040350
Rxoqvkx 4585929
New list:
Aaafc 7995354
Aabkvvonvrwx 2807981
Aabptjuvyyd 1366555
Aabswpnmtitdt 2757475
Aaccbjrnicedo 6853118
Aacjlqheuppphq 4003660
Aacl 5893051
Aacrqy 1857152
/home/skk/3rd_Sem_Bogachev/2025.10.31/dist/Krivoruchenko_SK/a02.out : Task = 2 Diff = 0 Elapsed = 5.32

--- R = 8 FILE = nv_100000_sort.txt ---
Source list:
Aaafc 7995354
Aaafx 2586417
Aaanvkhaoxnxt 2149307
Aaatimfdv 5510681
Aaawlsbbadpyvk 1021274
Aabgtsra 6996223
Aabivkglpeu 9236476
Aabkvvonvrwx 2807981
New list:
Aaafc 7995354
Aaafx 2586417
Aaanvkhaoxnxt 2149307
Aaatimfdv 5510681
Aaawlsbbadpyvk 1021274
Aabgtsra 6996223
Aabivkglpeu 9236476
Aabkvvonvrwx 2807981
/home/skk/3rd_Sem_Bogachev/2025.10.31/dist/Krivoruchenko_SK/a02.out : Task = 2 Diff = 0 Elapsed = 14.68

--- R = 8 FILE = nv_100000.txt ---
Source list:
Jttweitgnlpjm 9570066
Prdpagdudkdcyf 5616391
Phpnmyhtntkwh 4172124
Wbxnceqwibal 1567862
Ywvgnj 7842237
Qnakxxshs 6759808
Relwuif 9040350
Rxoqvkx 4585929
New list:
Aaafc 7995354
Aaafx 2586417
Aaanvkhaoxnxt 2149307
Aaatimfdv 5510681
Aaawlsbbadpyvk 1021274
Aabgtsra 6996223
Aabivkglpeu 9236476
Aabkvvonvrwx 2807981
/home/skk/3rd_Sem_Bogachev/2025.10.31/dist/Krivoruchenko_SK/a02.out : Task = 2 Diff = 0 Elapsed = 21.92


